Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
anims,Chrome 71.0.3578.98,,2019-01-03 14:40:47,2019-01-03 14:41:50,1m - 3.331s,FAILED
,,,,,,
Test Cases/spolight/E-tron/Animations/DoorFL,Chrome 71.0.3578.98,,2019-01-03 14:40:47,2019-01-03 14:40:53,6.276s,PASSED
"click(findTestObject(""E-tron/Animations/Page_SpotLight  Shutter/img_Multi Shot_ZlUiIconButton_""))",Chrome 71.0.3578.98,,2019-01-03 14:40:47,2019-01-03 14:40:48,0.944s,PASSED
"click(findTestObject(""E-tron/Animations/Page_SpotLight  Shutter/p_DoorFL""))",Chrome 71.0.3578.98,,2019-01-03 14:40:48,2019-01-03 14:40:48,0.086s,PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-03 14:40:48,2019-01-03 14:40:53,5.017s,PASSED
,,,,,,
Test Cases/spolight/E-tron/Animations/DoorFR,Chrome 71.0.3578.98,,2019-01-03 14:40:53,2019-01-03 14:40:58,5.311s,PASSED
"click(findTestObject(""E-tron/Animations/Page_SpotLight  Shutter/img_Multi Shot_ZlUiIconButton_""))",Chrome 71.0.3578.98,,2019-01-03 14:40:53,2019-01-03 14:40:53,0.075s,PASSED
"click(findTestObject(""E-tron/Animations/Page_SpotLight  Shutter/p_DoorFR""))",Chrome 71.0.3578.98,,2019-01-03 14:40:53,2019-01-03 14:40:53,0.083s,PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-03 14:40:53,2019-01-03 14:40:58,5.001s,PASSED
,,,,,,
Test Cases/spolight/E-tron/Animations/DoorRL,Chrome 71.0.3578.98,,2019-01-03 14:40:58,2019-01-03 14:41:04,5.315s,PASSED
"click(findTestObject(""E-tron/Animations/Page_SpotLight  Shutter/img_Multi Shot_ZlUiIconButton_""))",Chrome 71.0.3578.98,,2019-01-03 14:40:59,2019-01-03 14:40:59,0.096s,PASSED
"click(findTestObject(""E-tron/Animations/Page_SpotLight  Shutter/p_DoorRL""))",Chrome 71.0.3578.98,,2019-01-03 14:40:59,2019-01-03 14:40:59,0.080s,PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-03 14:40:59,2019-01-03 14:41:04,5.001s,PASSED
,,,,,,
Test Cases/spolight/E-tron/Animations/DoorRR,Chrome 71.0.3578.98,,2019-01-03 14:41:04,2019-01-03 14:41:09,5.363s,PASSED
"click(findTestObject(""E-tron/Animations/Page_SpotLight  Shutter/img_Multi Shot_ZlUiIconButton_""))",Chrome 71.0.3578.98,,2019-01-03 14:41:04,2019-01-03 14:41:04,0.103s,PASSED
"click(findTestObject(""E-tron/Animations/Page_SpotLight  Shutter/p_DoorRR""))",Chrome 71.0.3578.98,,2019-01-03 14:41:04,2019-01-03 14:41:04,0.109s,PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-03 14:41:04,2019-01-03 14:41:09,5.000s,PASSED
,,,,,,
Test Cases/spolight/E-tron/Animations/Doors,Chrome 71.0.3578.98,,2019-01-03 14:41:09,2019-01-03 14:41:14,5.345s,PASSED
"click(findTestObject(""E-tron/Animations/Page_SpotLight  Shutter/img_Multi Shot_ZlUiIconButton_""))",Chrome 71.0.3578.98,,2019-01-03 14:41:09,2019-01-03 14:41:09,0.089s,PASSED
"click(findTestObject(""E-tron/Animations/Page_SpotLight  Shutter/p_Doors""))",Chrome 71.0.3578.98,,2019-01-03 14:41:09,2019-01-03 14:41:09,0.117s,PASSED
"delay(5, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-03 14:41:09,2019-01-03 14:41:14,5.001s,PASSED
,,,,,,
Test Cases/spolight/E-tron/Animations/DoorsF,Chrome 71.0.3578.98,,2019-01-03 14:41:14,2019-01-03 14:41:20,5.328s,PASSED
