Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
brochure,Chrome 71.0.3578.98,,2019-01-24 15:03:51,2019-01-24 15:04:08,16.942s,FAILED
,,,,,,
Test Cases/spolight/logging in/login,Chrome 71.0.3578.98,,2019-01-24 15:03:51,2019-01-24 15:03:58,7.510s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-24 15:03:51,2019-01-24 15:03:54,3.074s,PASSED
"navigateToUrl(""https://spotlightsuite.com/auth/login"")",Chrome 71.0.3578.98,,2019-01-24 15:03:54,2019-01-24 15:03:56,1.809s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-24 15:03:56,2019-01-24 15:03:57,1.141s,PASSED
waitForPageLoad(0),Chrome 71.0.3578.98,,2019-01-24 15:03:57,2019-01-24 15:03:57,0.045s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Email_undefined-Email-un""))",Chrome 71.0.3578.98,,2019-01-24 15:03:57,2019-01-24 15:03:57,0.104s,PASSED
"sendKeys(findTestObject(""Page_SpotLight  Login/input_Email_undefined-Email-un""), findTestData(""login spotlight"").getValue(1, 1))",Chrome 71.0.3578.98,,2019-01-24 15:03:57,2019-01-24 15:03:58,0.716s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Password_undefined-Passw""))",Chrome 71.0.3578.98,,2019-01-24 15:03:58,2019-01-24 15:03:58,0.098s,PASSED
"sendKeys(findTestObject(""Page_SpotLight  Login/input_Password_undefined-Passw""), findTestData(""login spotlight"").getValue(2, 1))",Chrome 71.0.3578.98,,2019-01-24 15:03:58,2019-01-24 15:03:58,0.168s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Forgot my password_Butto""))",Chrome 71.0.3578.98,,2019-01-24 15:03:58,2019-01-24 15:03:58,0.098s,PASSED
,,,,,,
Test Cases/spolight/service choice/zlcc stage,Chrome 71.0.3578.98,,2019-01-24 15:03:58,2019-01-24 15:04:00,1.981s,PASSED
"click(findTestObject(""Page_SpotLight  Login/button_ZLCC Stage""))",Chrome 71.0.3578.98,,2019-01-24 15:03:58,2019-01-24 15:03:59,0.631s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-24 15:03:59,2019-01-24 15:04:00,1.033s,PASSED
"click(findTestObject(""Services/li_ZLCC Stage""))",Chrome 71.0.3578.98,,2019-01-24 15:04:00,2019-01-24 15:04:00,0.099s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_ZLCC Stage_Button__Super""))",Chrome 71.0.3578.98,,2019-01-24 15:04:00,2019-01-24 15:04:00,0.099s,PASSED
,,,,,,
Test Cases/spolight/Select Your Application/Bespoke - Brochure,Chrome 71.0.3578.98,,2019-01-24 15:04:00,2019-01-24 15:04:03,2.557s,PASSED
"click(findTestObject(""pick your apps/Page_SpotLight  Select App - bespoke borchure/a""))",Chrome 71.0.3578.98,,2019-01-24 15:04:00,2019-01-24 15:04:02,1.279s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-24 15:04:02,2019-01-24 15:04:03,1.003s,PASSED
"click(findTestObject(""pick your apps/Page_SpotLight  Select App - bespoke borchure/button_Open Application""))",Chrome 71.0.3578.98,,2019-01-24 15:04:03,2019-01-24 15:04:03,0.149s,PASSED
,,,,,,
Test Cases/spolight/cars/Urus,Chrome 71.0.3578.98,,2019-01-24 15:04:03,2019-01-24 15:04:03,0.339s,PASSED
"click(findTestObject(""Page_SpotLight  Select Car/div_Urus""))",Chrome 71.0.3578.98,,2019-01-24 15:04:03,2019-01-24 15:04:03,0.171s,PASSED
,,,,,,
Test Cases/spolight/Bespoke Brochure Panels/Add to cart/add to Cart,Chrome 71.0.3578.98,,2019-01-24 15:04:03,2019-01-24 15:04:03,0.251s,PASSED
"waitForElementClickable(findTestObject(""Bespoke_Brochure/add to cart/Page_SpotLight  Bespoke BROCHURE/a_Add to cart""), 0)",Chrome 71.0.3578.98,,2019-01-24 15:04:03,2019-01-24 15:04:03,0.053s,PASSED
"click(findTestObject(""Bespoke_Brochure/add to cart/Page_SpotLight  Bespoke BROCHURE/a_Add to cart""))",Chrome 71.0.3578.98,,2019-01-24 15:04:03,2019-01-24 15:04:03,0.084s,PASSED
,,,,,,
Test Cases/spolight/Bespoke Brochure Panels/Add to cart/Shopping cart,Chrome 71.0.3578.98,,2019-01-24 15:04:03,2019-01-24 15:04:06,2.648s,PASSED
"waitForElementClickable(findTestObject(""Bespoke Video/shopping cart/Page_SpotLight  Bespoke Video/a_2""), 0)",Chrome 71.0.3578.98,,2019-01-24 15:04:04,2019-01-24 15:04:04,0.055s,PASSED
"click(findTestObject(""Bespoke Video/shopping cart/Page_SpotLight  Bespoke Video/a_2""))",Chrome 71.0.3578.98,,2019-01-24 15:04:04,2019-01-24 15:04:04,0.147s,PASSED
"click(findTestObject(""Bespoke Video/shopping cart/Page_SpotLight  Bespoke Video/button_Confirm""))",Chrome 71.0.3578.98,,2019-01-24 15:04:04,2019-01-24 15:04:04,0.200s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-24 15:04:04,2019-01-24 15:04:06,2.003s,PASSED
"click(findTestObject(""Bespoke_Brochure/add to cart/Page_SpotLight  Bespoke BROCHURE/div_Page18_SliderContent__Slid""))",Chrome 71.0.3578.98,,2019-01-24 15:04:06,2019-01-24 15:04:06,0.122s,PASSED
,,,,,,
Test Cases/spolight/Bespoke Brochure Panels/view content/content,Chrome 71.0.3578.98,,2019-01-24 15:04:06,2019-01-24 15:04:07,0.780s,FAILED
"waitForElementClickable(findTestObject(""manageSettings/Page_SpotLight  Shutter/li_Bespoke BROCHURE96 DPI Docu""), 0)",Chrome 71.0.3578.98,,2019-01-24 15:04:06,2019-01-24 15:04:06,0.051s,PASSED
