Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
shutter-pack,Chrome 71.0.3578.98,,2019-01-24 14:34:15,2019-01-24 14:35:04,49.429s,FAILED
,,,,,,
Test Cases/spolight/logging in/login,Chrome 71.0.3578.98,,2019-01-24 14:34:15,2019-01-24 14:34:21,6.449s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-24 14:34:15,2019-01-24 14:34:18,3.071s,PASSED
"navigateToUrl(""https://spotlightsuite.com/auth/login"")",Chrome 71.0.3578.98,,2019-01-24 14:34:18,2019-01-24 14:34:19,0.965s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-24 14:34:19,2019-01-24 14:34:20,1.147s,PASSED
waitForPageLoad(0),Chrome 71.0.3578.98,,2019-01-24 14:34:20,2019-01-24 14:34:20,0.038s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Email_undefined-Email-un""))",Chrome 71.0.3578.98,,2019-01-24 14:34:20,2019-01-24 14:34:20,0.107s,PASSED
"sendKeys(findTestObject(""Page_SpotLight  Login/input_Email_undefined-Email-un""), findTestData(""login spotlight"").getValue(1, 1))",Chrome 71.0.3578.98,,2019-01-24 14:34:20,2019-01-24 14:34:21,0.612s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Password_undefined-Passw""))",Chrome 71.0.3578.98,,2019-01-24 14:34:21,2019-01-24 14:34:21,0.066s,PASSED
"sendKeys(findTestObject(""Page_SpotLight  Login/input_Password_undefined-Passw""), findTestData(""login spotlight"").getValue(2, 1))",Chrome 71.0.3578.98,,2019-01-24 14:34:21,2019-01-24 14:34:21,0.139s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Forgot my password_Butto""))",Chrome 71.0.3578.98,,2019-01-24 14:34:21,2019-01-24 14:34:21,0.082s,PASSED
,,,,,,
Test Cases/spolight/service choice/zlcc stage,Chrome 71.0.3578.98,,2019-01-24 14:34:21,2019-01-24 14:34:23,1.894s,PASSED
"click(findTestObject(""Page_SpotLight  Login/button_ZLCC Stage""))",Chrome 71.0.3578.98,,2019-01-24 14:34:21,2019-01-24 14:34:22,0.609s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-24 14:34:22,2019-01-24 14:34:23,1.024s,PASSED
