Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
video,Chrome 71.0.3578.98,,2019-01-24 14:31:50,2019-01-24 14:32:10,19.466s,FAILED
,,,,,,
Test Cases/spolight/logging in/login,Chrome 71.0.3578.98,,2019-01-24 14:31:51,2019-01-24 14:31:57,6.535s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-24 14:31:51,2019-01-24 14:31:54,3.005s,PASSED
"navigateToUrl(""https://spotlightsuite.com/auth/login"")",Chrome 71.0.3578.98,,2019-01-24 14:31:54,2019-01-24 14:31:55,0.987s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-24 14:31:55,2019-01-24 14:31:56,1.147s,PASSED
waitForPageLoad(0),Chrome 71.0.3578.98,,2019-01-24 14:31:56,2019-01-24 14:31:56,0.053s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Email_undefined-Email-un""))",Chrome 71.0.3578.98,,2019-01-24 14:31:56,2019-01-24 14:31:56,0.105s,PASSED
"sendKeys(findTestObject(""Page_SpotLight  Login/input_Email_undefined-Email-un""), findTestData(""login spotlight"").getValue(1, 1))",Chrome 71.0.3578.98,,2019-01-24 14:31:56,2019-01-24 14:31:57,0.711s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Password_undefined-Passw""))",Chrome 71.0.3578.98,,2019-01-24 14:31:57,2019-01-24 14:31:57,0.089s,PASSED
"sendKeys(findTestObject(""Page_SpotLight  Login/input_Password_undefined-Passw""), findTestData(""login spotlight"").getValue(2, 1))",Chrome 71.0.3578.98,,2019-01-24 14:31:57,2019-01-24 14:31:57,0.154s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_Forgot my password_Butto""))",Chrome 71.0.3578.98,,2019-01-24 14:31:57,2019-01-24 14:31:57,0.079s,PASSED
,,,,,,
Test Cases/spolight/service choice/zlcc stage,Chrome 71.0.3578.98,,2019-01-24 14:31:57,2019-01-24 14:31:59,1.893s,PASSED
"click(findTestObject(""Page_SpotLight  Login/button_ZLCC Stage""))",Chrome 71.0.3578.98,,2019-01-24 14:31:57,2019-01-24 14:31:58,0.606s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-24 14:31:58,2019-01-24 14:31:59,1.017s,PASSED
"click(findTestObject(""Services/li_ZLCC Stage""))",Chrome 71.0.3578.98,,2019-01-24 14:31:59,2019-01-24 14:31:59,0.083s,PASSED
"click(findTestObject(""Page_SpotLight  Login/input_ZLCC Stage_Button__Super""))",Chrome 71.0.3578.98,,2019-01-24 14:31:59,2019-01-24 14:31:59,0.077s,PASSED
,,,,,,
Test Cases/spolight/Select Your Application/Bespoke - Video,Chrome 71.0.3578.98,,2019-01-24 14:31:59,2019-01-24 14:32:02,2.535s,PASSED
"click(findTestObject(""pick your apps/Page_SpotLight  Select App - bespoke video/a""))",Chrome 71.0.3578.98,,2019-01-24 14:31:59,2019-01-24 14:32:00,1.279s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-24 14:32:00,2019-01-24 14:32:01,1.004s,PASSED
"click(findTestObject(""pick your apps/Page_SpotLight  Select App - bespoke video/button_Open Application""))",Chrome 71.0.3578.98,,2019-01-24 14:32:01,2019-01-24 14:32:02,0.140s,PASSED
,,,,,,
Test Cases/spolight/cars/Aventador,Chrome 71.0.3578.98,,2019-01-24 14:32:02,2019-01-24 14:32:02,0.285s,PASSED
"click(findTestObject(""Page_SpotLight  Select Car/div_Aventador""))",Chrome 71.0.3578.98,,2019-01-24 14:32:02,2019-01-24 14:32:02,0.175s,PASSED
,,,,,,
Test Cases/spolight/Bespoke Video Panels/Single Render/render,Chrome 71.0.3578.98,,2019-01-24 14:32:02,2019-01-24 14:32:04,2.677s,FAILED
"click(findTestObject(""Bespoke Video/Single Render/Page_SpotLight  Bespoke Video/a_Single Render""))",Chrome 71.0.3578.98,,2019-01-24 14:32:02,2019-01-24 14:32:02,0.066s,PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-24 14:32:02,2019-01-24 14:32:04,2.003s,PASSED
"click(findTestObject(""Bespoke_Brochure/add to cart/Page_SpotLight  Bespoke BROCHURE/div_Page18_SliderContent__Slid""))",Chrome 71.0.3578.98,,2019-01-24 14:32:04,2019-01-24 14:32:04,0.488s,FAILED
,,,,,,
Test Cases/spolight/Shutter-Pro Panels/view content/content,Chrome 71.0.3578.98,,2019-01-24 14:32:05,2019-01-24 14:32:09,4.689s,PASSED
"click(findTestObject(""manageSettings/Page_SpotLight  Shutter/a_See More""))",Chrome 71.0.3578.98,,2019-01-24 14:32:05,2019-01-24 14:32:05,0.102s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-24 14:32:05,2019-01-24 14:32:06,1.003s,PASSED
"click(findTestObject(""manageSettings/Page_SpotLight  Shutter/img_Audi a5 2018_NavItemStyled""))",Chrome 71.0.3578.98,,2019-01-24 14:32:06,2019-01-24 14:32:06,0.148s,PASSED
"click(findTestObject(""manageSettings/Page_SpotLight  Shutter/viewImage""))",Chrome 71.0.3578.98,,2019-01-24 14:32:06,2019-01-24 14:32:07,0.654s,PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-24 14:32:07,2019-01-24 14:32:08,1.001s,PASSED
title = getWindowIndex(),Chrome 71.0.3578.98,,2019-01-24 14:32:08,2019-01-24 14:32:08,0.025s,PASSED
switchToWindowIndex(1),Chrome 71.0.3578.98,,2019-01-24 14:32:08,2019-01-24 14:32:08,0.022s,PASSED
"takeScreenshot(""C:\screenshots\test.png"")",Chrome 71.0.3578.98,,2019-01-24 14:32:08,2019-01-24 14:32:09,1.500s,PASSED
closeWindowIndex(1),Chrome 71.0.3578.98,,2019-01-24 14:32:09,2019-01-24 14:32:09,0.036s,PASSED
